mmsi,imo,vessel_name,year_of_build,flag,dwt,teu_capacity,draft,loa,lbp,breadth_extreme,breadth_moulded,vessel_type
563059200,9784324,Maersk Herrera,2018.0,SGP,161905.0,15226.0,15.0,353.02,340.5,,53.5,fully cellular containership
563039700,9784295,Maersk Hanoi,2018.0,SGP,162051.0,15226.0,15.0,353.02,340.5,,53.5,fully cellular containership
538007662,9784245,TS Tokyo,2017.0,MHL,21361.0,1800.0,9.53,171.99,169.2,,27.5,fully cellular containership
538007518,9784233,TS Bangkok,2017.0,MHL,21100.0,1800.0,9.53,171.99,169.2,,27.6,fully cellular containership
477233300,9785756,COSCO Shipping Azalea,2019.0,HKG,146513.0,14812.0,13.5,366.0,350.0,,48.2,fully cellular containership
255806186,9785392,UHL Fast,2019.0,PMD,13300.0,838.0,8.3,149.99,141.99,,25.61,general cargo with container capacity
710008336,9784661,Mercosul Fortaleza,2017.0,BRA,36923.0,2708.0,8.5,185.97,177.0,,34.8,fully cellular containership
563178900,9784647,CNC Serval,2017.0,SGP,36946.0,2708.0,8.5,186.0,177.0,,34.8,fully cellular containership
477286300,9785782,COSCO Shipping Camellia,2019.0,HKG,146378.0,14812.0,13.5,366.0,350.0,,48.2,fully cellular containership
477168400,9785744,COSCO Shipping Peony,2018.0,HKG,146588.0,14812.0,13.5,366.0,350.0,,48.2,fully cellular containership
431888000,9784776,ONE Wren,2018.0,JPN,139335.0,14026.0,15.79,364.15,349.2,,50.6,fully cellular containership
477232200,9785794,COSCO Shipping Sakura,2018.0,HKG,146507.0,13800.0,16.0,366.0,350.0,,48.2,fully cellular containership
255806189,9785407,UHL Flash,2019.0,PMD,17125.0,838.0,8.3,149.99,141.99,,25.57,general cargo with container capacity
255806185,9785380,Uhl Fusion,2018.0,PMD,13300.0,838.0,8.3,149.99,142.02,,25.61,general cargo with container capacity
229744000,9784659,CNC Tiger,2017.0,MLT,36882.0,2708.0,11.0,186.0,177.01,,34.8,fully cellular containership
431986000,9784788,One Stork,2018.0,JPN,139335.0,14026.0,15.7,364.15,349.2,,50.6,fully cellular containership
477286200,9785770,COSCO Shipping Orchid,2019.0,HKG,146423.0,14812.0,13.5,366.0,350.0,,48.2,fully cellular containership
477194800,9785809,COSCO Shipping Rose,2018.0,HKG,146714.0,13800.0,13.5,366.0,350.0,,48.2,fully cellular containership
255806176,9785378,UHL Fame,2018.0,PMD,13300.0,838.0,8.3,149.99,142.02,25.92,25.61,general cargo with container capacity
477269400,9785811,COSCO Shipping Lotus,2019.0,HKG,146591.0,13800.0,13.5,366.0,350.0,,48.2,fully cellular containership
477183900,9785768,COSCO Shipping Jasmine,2018.0,HKG,146773.0,13800.0,13.5,366.0,350.0,,48.2,fully cellular containership
636020928,9786097,Maersk Pangani,2021.0,LBR,63868.0,2093.0,13.0,294.0,283.0,,32.2,fully cellular containership
525006403,9720665,Antasena,2016.0,IDN,3200.0,256.0,4.61,86.4,79.97,,15.5,fully cellular containership
538008980,9786085,Maersk Zambezi,2020.0,MHL,63865.0,5300.0,13.0,294.0,283.0,,32.2,fully cellular containership
636021364,9785471,MSC Cassandre,2022.0,LBR,141467.0,11500.0,16.98,328.46,311.9,,48.2,fully cellular containership
563282600,9786736,Sao Paulo Express,2017.0,SGP,136828.0,11923.0,13.0,330.0,316.4,,48.2,fully cellular containership
563103200,9786762,Polar Colombia,2017.0,SGP,55763.0,3800.0,9.5,230.0,220.8,,37.3,fully cellular containership
563066900,9786750,Polar Mexico,2017.0,SGP,55705.0,3800.0,9.5,230.0,220.8,,37.3,fully cellular containership
370700000,9787015,Ever Boomy,2018.0,PAN,37301.0,2881.0,10.0,211.9,206.9,,32.8,fully cellular containership
563034800,9786724,Wan Hai V02,2017.0,SGP,132791.0,11800.0,16.02,330.0,316.4,,48.2,fully cellular containership
247437900,9786994,Ital Bonus,2018.0,ITA,37872.0,2926.0,10.0,211.9,206.9,,32.8,fully cellular containership
636021363,9785469,MSC Eugenia,2022.0,LBR,141467.0,11500.0,16.98,328.46,311.9,,48.2,fully cellular containership
416035000,9787027,Ever Bloom,2018.0,TWN,37301.0,2881.0,11.22,211.9,206.9,,32.8,fully cellular containership
416034000,9787003,Ever Beamy,2018.0,TWN,37301.0,2881.0,11.22,211.9,206.9,33.0,32.8,fully cellular containership
636021123,9785483,MSC Alanya,2021.0,LBR,122416.0,11500.0,16.98,328.46,311.9,,48.2,fully cellular containership
636021122,9785457,MSC Rayshmi,2021.0,LBR,141467.0,11500.0,16.98,328.46,311.9,,48.2,fully cellular containership
563050500,9786774,Polar Ecuador,2017.0,SGP,55658.0,3800.0,9.5,230.0,220.8,,37.3,fully cellular containership
636021012,9785445,MSC Carole,1980.0,LBR,127915.0,12200.0,16.98,328.46,311.9,,48.2,fully cellular containership
563042400,9786748,Kota Pelangi,2018.0,SGP,132340.0,11923.0,16.02,330.0,316.4,,48.2,fully cellular containership
351465000,9786932,Ever Bliss,2017.0,PAN,37872.0,2926.0,10.0,211.9,206.9,,32.8,fully cellular containership
563051500,9786786,Polar Costa Rica,2018.0,SGP,55722.0,3800.0,9.5,230.0,220.8,,37.3,fully cellular containership
563033800,9786712,Kota Pahlawan,2017.0,SGP,132415.0,11923.0,16.02,330.0,316.4,48.2,48.2,fully cellular containership
354977000,9786841,Ever Globe,2019.0,PAN,198937.0,20000.0,16.03,400.0,383.4,58.8,58.8,fully cellular containership
636019234,9786839,Ever Glory,2019.0,LBR,218000.0,21688.0,18.0,399.98,383.4,,58.5,fully cellular containership
548728000,9781449,Melia,2017.0,PHL,17625.0,56.0,9.92,130.94,122.0,,23.0,general cargo with container capacity
563068900,9786827,Ever Gifted,2018.0,SGP,198886.0,20000.0,16.03,399.98,387.0,58.8,58.8,fully cellular containership
563318600,9786815,Ever Genius,2018.0,SGP,218000.0,20000.0,18.0,400.0,383.4,58.8,58.8,fully cellular containership
,7724215,Suzie Q,1979.0,DMA,1250.0,30.0,4.57,63.0,,14.52,14.52,general cargo with container capacity
244850087,9728887,Northern Rock,2015.0,NLD,3285.0,304.0,5.0,92.2,84.98,16.0,14.0,general cargo with container capacity
503000108,9745794,Searoad Mersey II,2016.0,AUS,8269.0,455.0,6.32,181.52,171.46,26.6,26.6,roll on roll off with container capacity
431006885,9815367,Mikage,2015.0,JPN,1870.0,,3.82,95.5,,,13.5,fully cellular containership
271044252,9756391,Turk Yildizi-3,2015.0,TUR,5014.0,211.0,6.6,83.12,78.05,16.0,15.8,general cargo with container capacity
416032000,9786968,Ever Basis,2018.0,TWN,37301.0,2926.0,10.0,211.9,206.9,,32.8,fully cellular containership
247437600,9786970,Ital Bonny,2018.0,ITA,37301.0,2926.0,10.0,211.9,206.9,,32.8,fully cellular containership
374898000,9786956,Ever Birth,2017.0,PAN,37872.0,2926.0,10.0,211.9,206.9,,32.8,fully cellular containership
416033000,9786982,Ever Beady,2018.0,TWN,37301.0,2926.0,11.22,211.9,206.9,,32.8,fully cellular containership
416031000,9786944,Ever Balmy,2017.0,TWN,37301.0,2926.0,11.22,211.9,206.5,,32.8,fully cellular containership
477308100,9789623,COSCO Shipping Aquarius,2019.0,HKG,197049.0,20057.0,17.0,400.0,382.0,,58.6,fully cellular containership
477232800,9789647,COSCO Shipping Pisces,2019.0,HKG,196996.0,20057.0,16.0,400.0,382.0,58.59,58.59,fully cellular containership
477183800,9789635,COSCO Shipping Scorpio,2018.0,HKG,196913.0,19000.0,14.0,400.0,382.0,,58.6,fully cellular containership
405000185,8677225,KSL Pride,2008.0,BGD,2650.0,,3.4,83.0,,,14.6,general cargo with container capacity
355106000,9790086,Ever Burly,2019.0,PAN,30000.0,2906.0,10.0,211.0,202.0,,32.8,fully cellular containership
636021244,9789984,YM Together,2021.0,LBR,136899.0,11714.0,15.5,333.9,322.6,,51.2,fully cellular containership
370616000,9790062,Ever Build,2019.0,PAN,36972.0,2906.0,10.0,211.0,202.0,,32.8,fully cellular containership
416039000,9790074,Ever Bless,2019.0,TWN,36972.0,2910.0,11.22,210.98,206.0,,32.8,fully cellular containership
416040000,9790098,Ever Blink,2019.0,TWN,36972.0,2910.0,11.22,210.98,206.0,,32.8,fully cellular containership
416038000,9790050,Ever Board,2018.0,TWN,36972.0,2910.0,11.22,210.98,206.0,,32.8,fully cellular containership
563141200,9789972,YM Trust,2021.0,SGP,136899.0,11714.0,16.02,333.9,322.6,48.52,48.4,fully cellular containership
563155200,9789996,YM Trophy,2022.0,SGP,136900.0,8914.0,16.0,333.9,322.6,48.52,48.4,fully cellular containership
613735030,8997106,Tavangar,2004.0,CMR,,,4.8,59.0,,10.0,,general cargo with container capacity
405000186,8677237,KSL Gladiator,2008.0,BGD,2650.0,,3.4,83.0,,15.0,14.6,fully cellular containership
413205380,9792278,Ji Fa Nan Hai,2017.0,CHN,13400.0,1100.0,8.5,147.9,139.6,,23.25,fully cellular containership
413205520,9792280,Ji Fa Bei Hai,2016.0,CHN,20676.0,1184.0,8.5,151.84,148.0,,23.25,fully cellular containership
477139800,9792656,Sinotrans Bangkok,2017.0,HKG,23500.0,1946.0,8.5,171.99,164.0,,28.4,fully cellular containership
477096400,9792632,Sinotrans Keelung,2017.0,HKG,24700.0,1946.0,8.5,171.99,164.0,,28.4,fully cellular containership
538007311,9792498,Starship Taurus,2017.0,MHL,23499.0,1614.0,9.52,172.12,161.24,,27.4,fully cellular containership
413699890,8682593,An Sheng 20,2014.0,CHN,10000.0,650.0,,133.95,,,19.0,general cargo with container capacity
538007312,9792503,Starship Aquila,2017.0,MHL,23499.0,1614.0,9.52,172.12,161.24,,27.4,fully cellular containership
538007503,9793806,KMTC Haiphong,2017.0,MHL,21737.0,1822.0,8.75,172.2,163.0,,27.5,fully cellular containership
477010600,9792620,Sinotrans Kaohsiung,2017.0,HKG,24753.0,1946.0,8.5,171.99,164.0,,28.4,fully cellular containership
477112600,9792644,Sinotrans Manila,2017.0,HKG,24690.0,1946.0,8.5,171.99,164.0,,28.4,fully cellular containership
413699520,8682581,An Sheng 18,2014.0,CHN,10000.0,650.0,,133.95,,,19.0,general cargo with container capacity
413906728,,Feng Da 223,2015.0,CHN,,,,60.0,,16.0,,general cargo with container capacity
563173400,9793715,Interasia Elevate,2018.0,SGP,36919.0,2708.0,11.0,186.0,177.0,,34.8,fully cellular containership
563071300,9793727,X-Press Kabru,2018.0,SGP,36977.0,2782.0,11.0,185.93,177.0,,34.8,fully cellular containership
